time,product_id,TRSY1_size,TRSY2_size,TRSY3_size,total_size
2022-Dec-18 08:10:04.141,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:04.464,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:04.785,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:04.957,91282CFY2,-3000000,3000000,2000000,2000000
2022-Dec-18 08:10:05.105,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:05.422,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:05.738,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:05.962,91282CFY2,-1000000,3000000,2000000,4000000
2022-Dec-18 08:10:06.057,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:06.376,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:06.696,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:06.964,91282CFY2,-1000000,0,2000000,1000000
2022-Dec-18 08:10:07.009,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:07.322,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:07.637,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:07.957,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:07.965,91282CFY2,-1000000,0,6000000,5000000
2022-Dec-18 08:10:08.273,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:08.588,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:08.905,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:08.969,91282CFY2,-6000000,0,6000000,0
2022-Dec-18 08:10:09.220,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:09.536,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:09.854,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:09.970,91282CFV8,0,1000000,0,1000000
2022-Dec-18 08:10:10.168,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:10.488,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:10.806,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:10.974,91282CFV8,0,1000000,-2000000,-1000000
2022-Dec-18 08:10:11.124,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:11.443,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:11.762,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:11.978,91282CFV8,3000000,1000000,-2000000,2000000
2022-Dec-18 08:10:12.075,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:12.389,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:12.713,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:12.984,91282CFV8,3000000,-3000000,-2000000,-2000000
2022-Dec-18 08:10:13.025,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:13.339,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:13.661,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:13.978,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:13.989,91282CFV8,3000000,-3000000,3000000,3000000
2022-Dec-18 08:10:14.296,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:14.620,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:14.940,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:14.989,91282CFV8,2000000,-3000000,3000000,2000000
2022-Dec-18 08:10:15.261,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:15.579,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:15.896,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:15.989,91282CFV8,2000000,-1000000,3000000,4000000
2022-Dec-18 08:10:16.213,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:16.532,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:16.854,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:16.990,91282CFV8,2000000,-1000000,0,1000000
2022-Dec-18 08:10:17.174,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:17.497,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:17.820,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:17.995,91282CFV8,6000000,-1000000,0,5000000
2022-Dec-18 08:10:18.135,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:18.450,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:18.774,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:18.997,91282CFV8,6000000,-6000000,0,0
2022-Dec-18 08:10:19.098,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:19.421,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:19.741,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:20.002,912810TM0,0,0,1000000,1000000
2022-Dec-18 08:10:20.057,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:20.378,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:20.703,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:21.007,912810TM0,-2000000,0,1000000,-1000000
2022-Dec-18 08:10:21.024,91282CFX4,-6000000,0,6000000,0
2022-Dec-18 08:10:21.341,91282CFX4,-7000000,0,6000000,-1000000
2022-Dec-18 08:10:21.660,91282CFX4,-7000000,1000000,6000000,0
2022-Dec-18 08:10:21.979,91282CFX4,-7000000,1000000,5000000,-1000000
2022-Dec-18 08:10:22.009,912810TM0,-2000000,3000000,1000000,2000000
2022-Dec-18 08:10:22.295,91282CFX4,-6000000,1000000,5000000,0
2022-Dec-18 08:10:22.616,91282CFX4,-6000000,0,5000000,-1000000
2022-Dec-18 08:10:22.928,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:23.010,912810TM0,-2000000,3000000,-3000000,-2000000
2022-Dec-18 08:10:23.250,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:23.560,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:23.862,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:24.012,912810TM0,3000000,3000000,-3000000,3000000
2022-Dec-18 08:10:24.174,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:24.478,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:24.782,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:25.012,912810TM0,3000000,2000000,-3000000,2000000
2022-Dec-18 08:10:25.093,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:25.407,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:25.720,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:26.014,912810TM0,3000000,2000000,-1000000,4000000
2022-Dec-18 08:10:26.055,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:26.343,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:26.648,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:26.958,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:27.017,912810TM0,0,2000000,-1000000,1000000
2022-Dec-18 08:10:27.269,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:27.576,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:27.890,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:28.020,912810TM0,0,6000000,-1000000,5000000
2022-Dec-18 08:10:28.194,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:28.509,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:28.819,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:29.024,912810TM0,0,6000000,-6000000,0
2022-Dec-18 08:10:29.134,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:29.440,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:29.758,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:30.026,912810TL2,1000000,0,0,1000000
2022-Dec-18 08:10:30.064,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:30.383,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:30.696,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:31.009,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:31.026,912810TL2,1000000,-2000000,0,-1000000
2022-Dec-18 08:10:31.330,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:31.654,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:31.970,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:32.029,912810TL2,1000000,-2000000,3000000,2000000
2022-Dec-18 08:10:32.284,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:32.601,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:32.921,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:33.034,912810TL2,-3000000,-2000000,3000000,-2000000
2022-Dec-18 08:10:33.229,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:33.543,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:33.860,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:34.038,912810TL2,-3000000,3000000,3000000,3000000
2022-Dec-18 08:10:34.170,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:34.481,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:34.796,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:35.042,912810TL2,-3000000,3000000,2000000,2000000
2022-Dec-18 08:10:35.113,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:35.426,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:35.743,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:36.044,912810TL2,-1000000,3000000,2000000,4000000
2022-Dec-18 08:10:36.061,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:36.375,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:36.693,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:37.009,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:37.044,912810TL2,-1000000,0,2000000,1000000
2022-Dec-18 08:10:37.320,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:37.638,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:37.959,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:38.048,912810TL2,-1000000,0,6000000,5000000
2022-Dec-18 08:10:38.278,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:38.602,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:38.914,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:39.051,912810TL2,-6000000,0,6000000,0
2022-Dec-18 08:10:39.226,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:39.548,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:39.861,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:40.168,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:40.485,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:40.808,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:41.120,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:41.436,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:41.744,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:42.064,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:42.380,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:42.697,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:43.017,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:43.341,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:43.659,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:43.971,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:44.284,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:44.593,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:44.913,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:45.234,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:45.540,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:45.856,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:46.173,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:46.492,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:46.805,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:47.116,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:47.427,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:47.744,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:48.061,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:48.379,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:48.692,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:49.015,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:49.328,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:49.645,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:49.962,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:50.279,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:50.593,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:50.900,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:51.215,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:51.529,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:51.844,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:52.159,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:52.476,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:52.798,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:53.110,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:53.424,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:53.743,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:54.057,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:54.376,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:54.688,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:55.006,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:55.324,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:55.640,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:55.958,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:56.281,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:56.598,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:56.915,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:57.224,91282CFW6,5000000,-6000000,1000000,0
2022-Dec-18 08:10:57.547,91282CFW6,5000000,-5000000,1000000,1000000
2022-Dec-18 08:10:57.868,91282CFW6,5000000,-5000000,0,0
2022-Dec-18 08:10:58.186,91282CFW6,6000000,-5000000,0,1000000
2022-Dec-18 08:10:58.501,91282CFW6,6000000,-6000000,0,0
2022-Dec-18 08:10:58.814,91282CFW6,6000000,-6000000,1000000,1000000
2022-Dec-18 08:10:59.126,91282CFW6,5000000,-6000000,1000000,0
