time,product_id,bid_price,bid_visible_quantity,bid_hidden_quantity,offer_price,offer_visible_quantity,offer_hidden_quantity
2022-Dec-18 08:23:53.134,91282CFX4,99.144531,2000000,4000000,99.160156,2000000,4000000
2022-Dec-18 08:23:53.188,91282CFX4,99.152344,1000000,2000000,99.160156,1000000,2000000
2022-Dec-18 08:23:53.239,91282CFX4,99.152344,2000000,4000000,99.167969,2000000,4000000
2022-Dec-18 08:23:53.291,91282CFX4,99.160156,1000000,2000000,99.167969,1000000,2000000
2022-Dec-18 08:23:53.341,91282CFX4,99.160156,2000000,4000000,99.175781,2000000,4000000
2022-Dec-18 08:23:53.392,91282CFX4,99.167969,1000000,2000000,99.175781,1000000,2000000
2022-Dec-18 08:23:53.447,91282CFX4,99.167969,2000000,4000000,99.183594,2000000,4000000
2022-Dec-18 08:23:53.501,91282CFX4,99.175781,1000000,2000000,99.183594,1000000,2000000
2022-Dec-18 08:23:53.551,91282CFX4,99.175781,2000000,4000000,99.191406,2000000,4000000
2022-Dec-18 08:23:53.604,91282CFX4,99.183594,1000000,2000000,99.191406,1000000,2000000
2022-Dec-18 08:23:53.655,91282CFX4,99.183594,2000000,4000000,99.199219,2000000,4000000
2022-Dec-18 08:23:53.706,91282CFX4,99.191406,1000000,2000000,99.199219,1000000,2000000
2022-Dec-18 08:23:53.759,91282CFX4,99.191406,2000000,4000000,99.207031,2000000,4000000
2022-Dec-18 08:23:53.814,91282CFX4,99.199219,1000000,2000000,99.207031,1000000,2000000
2022-Dec-18 08:23:53.868,91282CFX4,99.199219,2000000,4000000,99.214844,2000000,4000000
2022-Dec-18 08:23:53.922,91282CFX4,99.207031,1000000,2000000,99.214844,1000000,2000000
2022-Dec-18 08:23:53.973,91282CFX4,99.207031,2000000,4000000,99.222656,2000000,4000000
2022-Dec-18 08:23:54.024,91282CFX4,99.214844,1000000,2000000,99.222656,1000000,2000000
2022-Dec-18 08:23:54.074,91282CFX4,99.214844,2000000,4000000,99.230469,2000000,4000000
2022-Dec-18 08:23:54.130,91282CFX4,99.222656,1000000,2000000,99.230469,1000000,2000000
2022-Dec-18 08:23:54.184,91282CFX4,99.222656,2000000,4000000,99.238281,2000000,4000000
2022-Dec-18 08:23:54.238,91282CFX4,99.230469,1000000,2000000,99.238281,1000000,2000000
2022-Dec-18 08:23:54.289,91282CFX4,99.230469,2000000,4000000,99.246094,2000000,4000000
2022-Dec-18 08:23:54.341,91282CFX4,99.238281,1000000,2000000,99.246094,1000000,2000000
2022-Dec-18 08:23:54.392,91282CFX4,99.238281,2000000,4000000,99.253906,2000000,4000000
2022-Dec-18 08:23:54.446,91282CFX4,99.246094,1000000,2000000,99.253906,1000000,2000000
2022-Dec-18 08:23:54.501,91282CFX4,99.246094,2000000,4000000,99.261719,2000000,4000000
2022-Dec-18 08:23:54.554,91282CFX4,99.253906,1000000,2000000,99.261719,1000000,2000000
2022-Dec-18 08:23:54.606,91282CFX4,99.253906,2000000,4000000,99.269531,2000000,4000000
2022-Dec-18 08:23:54.658,91282CFX4,99.261719,1000000,2000000,99.269531,1000000,2000000
2022-Dec-18 08:23:54.710,91282CFX4,99.261719,2000000,4000000,99.277344,2000000,4000000
2022-Dec-18 08:23:54.764,91282CFX4,99.269531,1000000,2000000,99.277344,1000000,2000000
2022-Dec-18 08:23:54.816,91282CFX4,99.269531,2000000,4000000,99.285156,2000000,4000000
2022-Dec-18 08:23:54.871,91282CFX4,99.277344,1000000,2000000,99.285156,1000000,2000000
2022-Dec-18 08:23:54.922,91282CFX4,99.277344,2000000,4000000,99.292969,2000000,4000000
2022-Dec-18 08:23:54.973,91282CFX4,99.285156,1000000,2000000,99.292969,1000000,2000000
2022-Dec-18 08:23:55.026,91282CFX4,99.285156,2000000,4000000,99.300781,2000000,4000000
2022-Dec-18 08:23:55.081,91282CFX4,99.292969,1000000,2000000,99.300781,1000000,2000000
2022-Dec-18 08:23:55.133,91282CFX4,99.292969,2000000,4000000,99.308594,2000000,4000000
2022-Dec-18 08:23:55.188,91282CFX4,99.300781,1000000,2000000,99.308594,1000000,2000000
2022-Dec-18 08:23:55.238,91282CFX4,99.300781,2000000,4000000,99.316406,2000000,4000000
2022-Dec-18 08:23:55.289,91282CFX4,99.308594,1000000,2000000,99.316406,1000000,2000000
2022-Dec-18 08:23:55.341,91282CFX4,99.308594,2000000,4000000,99.324219,2000000,4000000
2022-Dec-18 08:23:55.395,91282CFX4,99.316406,1000000,2000000,99.324219,1000000,2000000
2022-Dec-18 08:23:55.448,91282CFX4,99.316406,2000000,4000000,99.332031,2000000,4000000
2022-Dec-18 08:23:55.500,91282CFX4,99.324219,1000000,2000000,99.332031,1000000,2000000
2022-Dec-18 08:23:55.554,91282CFX4,99.324219,2000000,4000000,99.339844,2000000,4000000
2022-Dec-18 08:23:55.606,91282CFX4,99.332031,1000000,2000000,99.339844,1000000,2000000
2022-Dec-18 08:23:55.657,91282CFX4,99.332031,2000000,4000000,99.347656,2000000,4000000
2022-Dec-18 08:23:55.712,91282CFX4,99.339844,1000000,2000000,99.347656,1000000,2000000
2022-Dec-18 08:23:55.767,91282CFX4,99.339844,2000000,4000000,99.355469,2000000,4000000
2022-Dec-18 08:23:55.817,91282CFX4,99.347656,1000000,2000000,99.355469,1000000,2000000
2022-Dec-18 08:23:55.868,91282CFX4,99.347656,2000000,4000000,99.363281,2000000,4000000
2022-Dec-18 08:23:55.921,91282CFX4,99.355469,1000000,2000000,99.363281,1000000,2000000
2022-Dec-18 08:23:55.973,91282CFX4,99.355469,2000000,4000000,99.371094,2000000,4000000
2022-Dec-18 08:23:56.026,91282CFX4,99.363281,1000000,2000000,99.371094,1000000,2000000
2022-Dec-18 08:23:56.080,91282CFX4,99.363281,2000000,4000000,99.378906,2000000,4000000
2022-Dec-18 08:23:56.134,91282CFX4,99.371094,1000000,2000000,99.378906,1000000,2000000
2022-Dec-18 08:23:56.188,91282CFX4,99.371094,2000000,4000000,99.386719,2000000,4000000
2022-Dec-18 08:23:56.238,91282CFX4,99.378906,1000000,2000000,99.386719,1000000,2000000
2022-Dec-18 08:23:56.290,91282CFX4,99.378906,2000000,4000000,99.394531,2000000,4000000
2022-Dec-18 08:23:56.341,91282CFX4,99.386719,1000000,2000000,99.394531,1000000,2000000
2022-Dec-18 08:23:56.395,91282CFX4,99.386719,2000000,4000000,99.402344,2000000,4000000
2022-Dec-18 08:23:56.447,91282CFX4,99.394531,1000000,2000000,99.402344,1000000,2000000
2022-Dec-18 08:23:56.497,91282CFX4,99.394531,2000000,4000000,99.410156,2000000,4000000
2022-Dec-18 08:23:56.552,91282CFX4,99.402344,1000000,2000000,99.410156,1000000,2000000
2022-Dec-18 08:23:56.606,91282CFX4,99.402344,2000000,4000000,99.417969,2000000,4000000
2022-Dec-18 08:23:56.657,91282CFX4,99.410156,1000000,2000000,99.417969,1000000,2000000
2022-Dec-18 08:23:56.711,91282CFX4,99.410156,2000000,4000000,99.425781,2000000,4000000
2022-Dec-18 08:23:56.764,91282CFX4,99.417969,1000000,2000000,99.425781,1000000,2000000
2022-Dec-18 08:23:56.818,91282CFX4,99.417969,2000000,4000000,99.433594,2000000,4000000
2022-Dec-18 08:23:56.873,91282CFX4,99.425781,1000000,2000000,99.433594,1000000,2000000
2022-Dec-18 08:23:56.924,91282CFX4,99.425781,2000000,4000000,99.441406,2000000,4000000
2022-Dec-18 08:23:56.979,91282CFX4,99.433594,1000000,2000000,99.441406,1000000,2000000
2022-Dec-18 08:23:57.034,91282CFX4,99.433594,2000000,4000000,99.449219,2000000,4000000
2022-Dec-18 08:23:57.088,91282CFX4,99.441406,1000000,2000000,99.449219,1000000,2000000
2022-Dec-18 08:23:57.139,91282CFX4,99.441406,2000000,4000000,99.457031,2000000,4000000
2022-Dec-18 08:23:57.191,91282CFX4,99.449219,1000000,2000000,99.457031,1000000,2000000
2022-Dec-18 08:23:57.246,91282CFX4,99.449219,2000000,4000000,99.464844,2000000,4000000
2022-Dec-18 08:23:57.300,91282CFX4,99.457031,1000000,2000000,99.464844,1000000,2000000
2022-Dec-18 08:23:57.350,91282CFX4,99.457031,2000000,4000000,99.472656,2000000,4000000
2022-Dec-18 08:23:57.405,91282CFX4,99.464844,1000000,2000000,99.472656,1000000,2000000
2022-Dec-18 08:23:57.457,91282CFX4,99.464844,2000000,4000000,99.480469,2000000,4000000
2022-Dec-18 08:23:57.507,91282CFX4,99.472656,1000000,2000000,99.480469,1000000,2000000
2022-Dec-18 08:23:57.558,91282CFX4,99.472656,2000000,4000000,99.488281,2000000,4000000
2022-Dec-18 08:23:57.608,91282CFX4,99.480469,1000000,2000000,99.488281,1000000,2000000
2022-Dec-18 08:23:57.660,91282CFX4,99.480469,2000000,4000000,99.496094,2000000,4000000
2022-Dec-18 08:23:57.715,91282CFX4,99.488281,1000000,2000000,99.496094,1000000,2000000
2022-Dec-18 08:23:57.767,91282CFX4,99.488281,2000000,4000000,99.503906,2000000,4000000
2022-Dec-18 08:23:57.817,91282CFX4,99.496094,1000000,2000000,99.503906,1000000,2000000
2022-Dec-18 08:23:57.869,91282CFX4,99.496094,2000000,4000000,99.511719,2000000,4000000
2022-Dec-18 08:23:57.924,91282CFX4,99.503906,1000000,2000000,99.511719,1000000,2000000
2022-Dec-18 08:23:57.974,91282CFX4,99.503906,2000000,4000000,99.519531,2000000,4000000
2022-Dec-18 08:23:58.026,91282CFX4,99.511719,1000000,2000000,99.519531,1000000,2000000
2022-Dec-18 08:23:58.081,91282CFX4,99.511719,2000000,4000000,99.527344,2000000,4000000
2022-Dec-18 08:23:58.133,91282CFX4,99.519531,1000000,2000000,99.527344,1000000,2000000
2022-Dec-18 08:23:58.187,91282CFX4,99.519531,2000000,4000000,99.535156,2000000,4000000
2022-Dec-18 08:23:58.239,91282CFX4,99.527344,1000000,2000000,99.535156,1000000,2000000
2022-Dec-18 08:23:58.290,91282CFX4,99.527344,2000000,4000000,99.542969,2000000,4000000
2022-Dec-18 08:23:58.340,91282CFX4,99.535156,1000000,2000000,99.542969,1000000,2000000
2022-Dec-18 08:23:58.392,91282CFX4,99.535156,2000000,4000000,99.550781,2000000,4000000
2022-Dec-18 08:23:58.447,91282CFX4,99.542969,1000000,2000000,99.550781,1000000,2000000
2022-Dec-18 08:23:58.498,91282CFX4,99.542969,2000000,4000000,99.558594,2000000,4000000
2022-Dec-18 08:23:58.551,91282CFX4,99.550781,1000000,2000000,99.558594,1000000,2000000
2022-Dec-18 08:23:58.605,91282CFX4,99.550781,2000000,4000000,99.566406,2000000,4000000
2022-Dec-18 08:23:58.655,91282CFX4,99.558594,1000000,2000000,99.566406,1000000,2000000
2022-Dec-18 08:23:58.706,91282CFX4,99.558594,2000000,4000000,99.574219,2000000,4000000
2022-Dec-18 08:23:58.760,91282CFX4,99.566406,1000000,2000000,99.574219,1000000,2000000
2022-Dec-18 08:23:58.815,91282CFX4,99.566406,2000000,4000000,99.582031,2000000,4000000
2022-Dec-18 08:23:58.866,91282CFX4,99.574219,1000000,2000000,99.582031,1000000,2000000
2022-Dec-18 08:23:58.917,91282CFX4,99.574219,2000000,4000000,99.589844,2000000,4000000
2022-Dec-18 08:23:58.967,91282CFX4,99.582031,1000000,2000000,99.589844,1000000,2000000
2022-Dec-18 08:23:59.017,91282CFX4,99.582031,2000000,4000000,99.597656,2000000,4000000
2022-Dec-18 08:23:59.070,91282CFX4,99.589844,1000000,2000000,99.597656,1000000,2000000
2022-Dec-18 08:23:59.122,91282CFX4,99.589844,2000000,4000000,99.605469,2000000,4000000
2022-Dec-18 08:23:59.173,91282CFX4,99.597656,1000000,2000000,99.605469,1000000,2000000
2022-Dec-18 08:23:59.224,91282CFX4,99.597656,2000000,4000000,99.613281,2000000,4000000
2022-Dec-18 08:23:59.274,91282CFX4,99.605469,1000000,2000000,99.613281,1000000,2000000
2022-Dec-18 08:23:59.325,91282CFX4,99.605469,2000000,4000000,99.621094,2000000,4000000
2022-Dec-18 08:23:59.376,91282CFX4,99.613281,1000000,2000000,99.621094,1000000,2000000
2022-Dec-18 08:23:59.430,91282CFX4,99.613281,2000000,4000000,99.628906,2000000,4000000
2022-Dec-18 08:23:59.481,91282CFX4,99.621094,1000000,2000000,99.628906,1000000,2000000
2022-Dec-18 08:23:59.531,91282CFX4,99.621094,2000000,4000000,99.636719,2000000,4000000
2022-Dec-18 08:23:59.584,91282CFX4,99.628906,1000000,2000000,99.636719,1000000,2000000
2022-Dec-18 08:23:59.638,91282CFX4,99.628906,2000000,4000000,99.644531,2000000,4000000
2022-Dec-18 08:23:59.689,91282CFX4,99.636719,1000000,2000000,99.644531,1000000,2000000
2022-Dec-18 08:23:59.741,91282CFX4,99.636719,2000000,4000000,99.652344,2000000,4000000
2022-Dec-18 08:23:59.791,91282CFX4,99.644531,1000000,2000000,99.652344,1000000,2000000
2022-Dec-18 08:23:59.846,91282CFX4,99.644531,2000000,4000000,99.660156,2000000,4000000
2022-Dec-18 08:23:59.899,91282CFX4,99.652344,1000000,2000000,99.660156,1000000,2000000
2022-Dec-18 08:23:59.950,91282CFX4,99.652344,2000000,4000000,99.667969,2000000,4000000
2022-Dec-18 08:24:00.001,91282CFX4,99.660156,1000000,2000000,99.667969,1000000,2000000
2022-Dec-18 08:24:00.055,91282CFX4,99.660156,2000000,4000000,99.675781,2000000,4000000
2022-Dec-18 08:24:00.107,91282CFX4,99.667969,1000000,2000000,99.675781,1000000,2000000
2022-Dec-18 08:24:00.159,91282CFX4,99.667969,2000000,4000000,99.683594,2000000,4000000
2022-Dec-18 08:24:00.214,91282CFX4,99.675781,1000000,2000000,99.683594,1000000,2000000
2022-Dec-18 08:24:00.265,91282CFX4,99.675781,2000000,4000000,99.691406,2000000,4000000
2022-Dec-18 08:24:00.317,91282CFX4,99.683594,1000000,2000000,99.691406,1000000,2000000
2022-Dec-18 08:24:00.367,91282CFX4,99.683594,2000000,4000000,99.699219,2000000,4000000
2022-Dec-18 08:24:00.421,91282CFX4,99.691406,1000000,2000000,99.699219,1000000,2000000
2022-Dec-18 08:24:00.475,91282CFX4,99.691406,2000000,4000000,99.707031,2000000,4000000
2022-Dec-18 08:24:00.527,91282CFX4,99.699219,1000000,2000000,99.707031,1000000,2000000
2022-Dec-18 08:24:00.582,91282CFX4,99.699219,2000000,4000000,99.714844,2000000,4000000
2022-Dec-18 08:24:00.633,91282CFX4,99.707031,1000000,2000000,99.714844,1000000,2000000
2022-Dec-18 08:24:00.683,91282CFX4,99.707031,2000000,4000000,99.722656,2000000,4000000
2022-Dec-18 08:24:00.735,91282CFX4,99.714844,1000000,2000000,99.722656,1000000,2000000
2022-Dec-18 08:24:00.790,91282CFX4,99.714844,2000000,4000000,99.730469,2000000,4000000
2022-Dec-18 08:24:00.840,91282CFX4,99.722656,1000000,2000000,99.730469,1000000,2000000
2022-Dec-18 08:24:00.891,91282CFX4,99.722656,2000000,4000000,99.738281,2000000,4000000
2022-Dec-18 08:24:00.944,91282CFX4,99.730469,1000000,2000000,99.738281,1000000,2000000
2022-Dec-18 08:24:00.998,91282CFX4,99.730469,2000000,4000000,99.746094,2000000,4000000
2022-Dec-18 08:24:01.050,91282CFX4,99.738281,1000000,2000000,99.746094,1000000,2000000
2022-Dec-18 08:24:01.101,91282CFX4,99.738281,2000000,4000000,99.753906,2000000,4000000
2022-Dec-18 08:24:01.155,91282CFX4,99.746094,1000000,2000000,99.753906,1000000,2000000
2022-Dec-18 08:24:01.206,91282CFX4,99.746094,2000000,4000000,99.761719,2000000,4000000
2022-Dec-18 08:24:01.260,91282CFX4,99.753906,1000000,2000000,99.761719,1000000,2000000
2022-Dec-18 08:24:01.315,91282CFX4,99.753906,2000000,4000000,99.769531,2000000,4000000
2022-Dec-18 08:24:01.366,91282CFX4,99.761719,1000000,2000000,99.769531,1000000,2000000
2022-Dec-18 08:24:01.416,91282CFX4,99.761719,2000000,4000000,99.777344,2000000,4000000
2022-Dec-18 08:24:01.471,91282CFX4,99.769531,1000000,2000000,99.777344,1000000,2000000
2022-Dec-18 08:24:01.522,91282CFX4,99.769531,2000000,4000000,99.785156,2000000,4000000
2022-Dec-18 08:24:01.573,91282CFX4,99.777344,1000000,2000000,99.785156,1000000,2000000
2022-Dec-18 08:24:01.628,91282CFX4,99.777344,2000000,4000000,99.792969,2000000,4000000
2022-Dec-18 08:24:01.681,91282CFX4,99.785156,1000000,2000000,99.792969,1000000,2000000
2022-Dec-18 08:24:01.734,91282CFX4,99.785156,2000000,4000000,99.800781,2000000,4000000
2022-Dec-18 08:24:01.785,91282CFX4,99.792969,1000000,2000000,99.800781,1000000,2000000
2022-Dec-18 08:24:01.837,91282CFX4,99.792969,2000000,4000000,99.808594,2000000,4000000
2022-Dec-18 08:24:01.888,91282CFX4,99.800781,1000000,2000000,99.808594,1000000,2000000
2022-Dec-18 08:24:01.940,91282CFX4,99.800781,2000000,4000000,99.816406,2000000,4000000
2022-Dec-18 08:24:01.990,91282CFX4,99.808594,1000000,2000000,99.816406,1000000,2000000
2022-Dec-18 08:24:02.046,91282CFX4,99.808594,2000000,4000000,99.824219,2000000,4000000
2022-Dec-18 08:24:02.100,91282CFX4,99.816406,1000000,2000000,99.824219,1000000,2000000
2022-Dec-18 08:24:02.154,91282CFX4,99.816406,2000000,4000000,99.832031,2000000,4000000
2022-Dec-18 08:24:02.207,91282CFX4,99.824219,1000000,2000000,99.832031,1000000,2000000
2022-Dec-18 08:24:02.260,91282CFX4,99.824219,2000000,4000000,99.839844,2000000,4000000
2022-Dec-18 08:24:02.314,91282CFX4,99.832031,1000000,2000000,99.839844,1000000,2000000
2022-Dec-18 08:24:02.365,91282CFX4,99.832031,2000000,4000000,99.847656,2000000,4000000
2022-Dec-18 08:24:02.416,91282CFX4,99.839844,1000000,2000000,99.847656,1000000,2000000
2022-Dec-18 08:24:02.471,91282CFX4,99.839844,2000000,4000000,99.855469,2000000,4000000
2022-Dec-18 08:24:02.525,91282CFX4,99.847656,1000000,2000000,99.855469,1000000,2000000
2022-Dec-18 08:24:02.577,91282CFX4,99.847656,2000000,4000000,99.863281,2000000,4000000
2022-Dec-18 08:24:02.631,91282CFX4,99.855469,1000000,2000000,99.863281,1000000,2000000
2022-Dec-18 08:24:02.683,91282CFX4,99.855469,2000000,4000000,99.871094,2000000,4000000
2022-Dec-18 08:24:02.733,91282CFX4,99.863281,1000000,2000000,99.871094,1000000,2000000
2022-Dec-18 08:24:02.783,91282CFX4,99.863281,2000000,4000000,99.878906,2000000,4000000
2022-Dec-18 08:24:02.838,91282CFX4,99.871094,1000000,2000000,99.878906,1000000,2000000
2022-Dec-18 08:24:02.888,91282CFX4,99.871094,2000000,4000000,99.886719,2000000,4000000
2022-Dec-18 08:24:02.943,91282CFX4,99.878906,1000000,2000000,99.886719,1000000,2000000
2022-Dec-18 08:24:02.997,91282CFX4,99.878906,2000000,4000000,99.894531,2000000,4000000
2022-Dec-18 08:24:03.050,91282CFX4,99.886719,1000000,2000000,99.894531,1000000,2000000
2022-Dec-18 08:24:03.104,91282CFX4,99.886719,2000000,4000000,99.902344,2000000,4000000
2022-Dec-18 08:24:03.156,91282CFX4,99.894531,1000000,2000000,99.902344,1000000,2000000
2022-Dec-18 08:24:03.208,91282CFX4,99.894531,2000000,4000000,99.910156,2000000,4000000
2022-Dec-18 08:24:03.262,91282CFX4,99.902344,1000000,2000000,99.910156,1000000,2000000
2022-Dec-18 08:24:03.316,91282CFX4,99.902344,2000000,4000000,99.917969,2000000,4000000
2022-Dec-18 08:24:03.366,91282CFX4,99.910156,1000000,2000000,99.917969,1000000,2000000
2022-Dec-18 08:24:03.416,91282CFX4,99.910156,2000000,4000000,99.925781,2000000,4000000
2022-Dec-18 08:24:03.471,91282CFX4,99.917969,1000000,2000000,99.925781,1000000,2000000
2022-Dec-18 08:24:03.521,91282CFX4,99.917969,2000000,4000000,99.933594,2000000,4000000
2022-Dec-18 08:24:03.575,91282CFX4,99.925781,1000000,2000000,99.933594,1000000,2000000
2022-Dec-18 08:24:03.629,91282CFX4,99.925781,2000000,4000000,99.941406,2000000,4000000
2022-Dec-18 08:24:03.680,91282CFX4,99.933594,1000000,2000000,99.941406,1000000,2000000
2022-Dec-18 08:24:03.733,91282CFX4,99.933594,2000000,4000000,99.949219,2000000,4000000
2022-Dec-18 08:24:03.788,91282CFX4,99.941406,1000000,2000000,99.949219,1000000,2000000
2022-Dec-18 08:24:03.842,91282CFX4,99.941406,2000000,4000000,99.957031,2000000,4000000
2022-Dec-18 08:24:03.897,91282CFX4,99.949219,1000000,2000000,99.957031,1000000,2000000
2022-Dec-18 08:24:03.951,91282CFX4,99.949219,2000000,4000000,99.964844,2000000,4000000
2022-Dec-18 08:24:04.002,91282CFX4,99.957031,1000000,2000000,99.964844,1000000,2000000
2022-Dec-18 08:24:04.052,91282CFX4,99.957031,2000000,4000000,99.972656,2000000,4000000
2022-Dec-18 08:24:04.102,91282CFX4,99.964844,1000000,2000000,99.972656,1000000,2000000
2022-Dec-18 08:24:04.157,91282CFX4,99.964844,2000000,4000000,99.980469,2000000,4000000
2022-Dec-18 08:24:04.208,91282CFX4,99.972656,1000000,2000000,99.980469,1000000,2000000
2022-Dec-18 08:24:04.263,91282CFX4,99.972656,2000000,4000000,99.988281,2000000,4000000
2022-Dec-18 08:24:04.317,91282CFX4,99.980469,1000000,2000000,99.988281,1000000,2000000
2022-Dec-18 08:24:04.367,91282CFX4,99.980469,2000000,4000000,99.996094,2000000,4000000
2022-Dec-18 08:24:04.417,91282CFX4,99.988281,1000000,2000000,99.996094,1000000,2000000
2022-Dec-18 08:24:04.471,91282CFX4,99.988281,2000000,4000000,100.003906,2000000,4000000
2022-Dec-18 08:24:04.522,91282CFX4,99.996094,1000000,2000000,100.003906,1000000,2000000
2022-Dec-18 08:24:04.577,91282CFX4,99.996094,2000000,4000000,100.011719,2000000,4000000
2022-Dec-18 08:24:04.630,91282CFX4,100.003906,1000000,2000000,100.011719,1000000,2000000
2022-Dec-18 08:24:04.681,91282CFX4,100.003906,2000000,4000000,100.019531,2000000,4000000
2022-Dec-18 08:24:04.736,91282CFX4,100.011719,1000000,2000000,100.019531,1000000,2000000
2022-Dec-18 08:24:04.787,91282CFX4,100.011719,2000000,4000000,100.027344,2000000,4000000
2022-Dec-18 08:24:04.838,91282CFX4,100.019531,1000000,2000000,100.027344,1000000,2000000
2022-Dec-18 08:24:04.891,91282CFX4,100.019531,2000000,4000000,100.035156,2000000,4000000
2022-Dec-18 08:24:04.942,91282CFX4,100.027344,1000000,2000000,100.035156,1000000,2000000
2022-Dec-18 08:24:04.997,91282CFX4,100.027344,2000000,4000000,100.042969,2000000,4000000
2022-Dec-18 08:24:05.049,91282CFX4,100.035156,1000000,2000000,100.042969,1000000,2000000
2022-Dec-18 08:24:05.100,91282CFX4,100.035156,2000000,4000000,100.050781,2000000,4000000
2022-Dec-18 08:24:05.152,91282CFX4,100.042969,1000000,2000000,100.050781,1000000,2000000
2022-Dec-18 08:24:05.203,91282CFX4,100.042969,2000000,4000000,100.058594,2000000,4000000
2022-Dec-18 08:24:05.254,91282CFX4,100.050781,1000000,2000000,100.058594,1000000,2000000
2022-Dec-18 08:24:05.308,91282CFX4,100.050781,2000000,4000000,100.066406,2000000,4000000
2022-Dec-18 08:24:05.359,91282CFX4,100.058594,1000000,2000000,100.066406,1000000,2000000
2022-Dec-18 08:24:05.409,91282CFX4,100.058594,2000000,4000000,100.074219,2000000,4000000
2022-Dec-18 08:24:05.460,91282CFX4,100.066406,1000000,2000000,100.074219,1000000,2000000
2022-Dec-18 08:24:05.511,91282CFX4,100.066406,2000000,4000000,100.082031,2000000,4000000
2022-Dec-18 08:24:05.563,91282CFX4,100.074219,1000000,2000000,100.082031,1000000,2000000
